Shipment_ID,Origin,Destination,Distance_Miles,Weight_Lbs,Transport_Mode,Carrier,Lead_Time_Days,Fuel_Surcharge_Rate,Is_Urgent,Actual_Price_USD
SHP100288,Los Angeles,Atlanta,2417.0,9601.0,Truckload,DHL Express,6,0.16,1,6614.06
SHP100289,Houston,Los Angeles,2378.0,13977.0,LTL,FedEx,1,0.42,0,4815.83
SHP100290,Miami,New York,1755.0,5243.0,Truckload,DHL Express,7,0.2,0,4349.16
SHP100291,Chicago,Los Angeles,2231.0,1264.0,LTL,FedEx,8,0.22,1,3805.76
SHP100292,Houston,Los Angeles,2275.0,4469.0,Air Freight,FedEx,11,0.31,0,8354.98
SHP100293,Los Angeles,Atlanta,2230.0,7364.0,Truckload,USPS,8,0.36,0,5588.76
SHP100294,Chicago,Atlanta,1829.0,14128.0,LTL,FedEx,3,0.18,0,3970.5
SHP100295,Houston,Miami,-999.0,8525.0,LTL,FedEx,10,0.25,0,3117.6
SHP100296,Miami,Atlanta,1533.0,262.0,LTL,DHL Express,1,0.44,0,2458.94
SHP100297,Houston,Chicago,-999.0,1708.0,LTL,UPS,9,0.23,0,2942.17
SHP100298,Miami,New York,1656.0,12320.0,LTL,USPS,13,0.24,0,3470.34
SHP100299,Los Angeles,Miami,2008.0,14079.0,Truckload,FedEx,6,0.4,0,6013.94
SHP100300,Miami,Houston,1518.0,5074.0,LTL,USPS,11,0.17,0,2697.61
SHP100301,Chicago,Houston,1783.0,13089.0,LTL,DHL Express,9,0.29,0,3765.35
SHP100302,Los Angeles,Atlanta,2299.0,9659.0,LTL,FedEx,7,0.26,0,4229.25
SHP100303,Chicago,Los Angeles,2294.0,10628.0,LTL,DHL Express,1,0.24,0,4450.47
SHP100304,Atlanta,Houston,1746.0,5967.0,Air Freight,USPS,12,0.24,0,6948.41
SHP100305,New York,Chicago,1929.0,5191.0,LTL,DHL Express,12,0.18,0,3296.18
SHP100306,Miami,New York,1797.0,1844.0,Truckload,USPS,1,0.24,1,4664.42
SHP100307,New York,Houston,2008.0,6038.0,Air Freight,DHL Express,6,0.16,0,7811.64
SHP100308,New York,Chicago,2092.0,8346.0,Truckload,USPS,5,0.38,0,5474.49
SHP100309,Miami,New York,1682.0,13827.0,Air Freight,UPS,9,0.27,0,8133.43
SHP100310,Los Angeles,Houston,2432.0,5628.0,LTL,DHL Express,2,0.28,0,4138.92
SHP100311,Atlanta,Chicago,1935.0,5601.0,Air Freight,DHL Express,8,0.42,0,7600.43
SHP100312,Chicago,New York,1898.0,13107.0,LTL,UPS,11,0.35,0,3941.13
SHP100313,Houston,New York,1950.0,12135.0,LTL,UPS,5,0.15,0,4035.05
SHP100314,Chicago,Miami,1491.0,3895.0,Truckload,DHL Express,2,0.43,0,3722.25
SHP100315,Houston,Chicago,1973.0,11932.0,Air Freight,UPS,13,0.22,1,9516.83
SHP100316,Chicago,New York,2025.0,6956.0,Air Freight,FedEx,10,0.18,0,7978.2
SHP100317,Miami,Los Angeles,2207.0,14297.0,LTL,USPS,11,0.38,0,4528.37
SHP100318,Atlanta,Houston,1871.0,14365.0,LTL,USPS,11,0.3,1,4404.64
SHP100319,Houston,New York,1908.0,11534.0,Air Freight,USPS,12,0.28,0,8409.34
SHP100320,Los Angeles,New York,2426.0,428.0,LTL,FedEx,6,0.22,0,3754.83
SHP100321,Chicago,Miami,1588.0,3343.0,Truckload,UPS,10,0.31,0,3703.02
SHP100322,Chicago,Miami,1675.0,3379.0,Air Freight,UPS,8,0.23,0,6248.75
SHP100323,Houston,New York,1952.0,4858.0,LTL,DHL Express,4,0.42,0,3391.46
SHP100324,Los Angeles,Miami,2155.0,11680.0,LTL,UPS,2,0.21,0,4184.74
SHP100325,Los Angeles,Houston,2448.0,7987.0,LTL,DHL Express,12,0.42,0,4352.89
SHP100326,Miami,New York,-999.0,13710.0,LTL,FedEx,11,0.32,0,3865.76
SHP100327,Miami,Atlanta,1701.0,274.0,Air Freight,USPS,5,0.4,0,5957.03
SHP100328,Miami,New York,1611.0,14075.0,LTL,USPS,12,0.36,1,3984.79
SHP100329,Miami,Houston,1732.0,787.0,Air Freight,USPS,2,0.36,0,6100.04
SHP100330,Miami,Chicago,1530.0,285.0,LTL,UPS,2,0.25,0,2447.91
SHP100331,Miami,New York,1820.0,12520.0,Air Freight,DHL Express,6,0.22,0,8375.71
SHP100332,Atlanta,Chicago,1852.0,761.0,LTL,DHL Express,11,0.21,0,2925.4
SHP100333,Los Angeles,Miami,2198.0,6038.0,LTL,FedEx,10,0.41,1,4237.1
SHP100334,Miami,Chicago,1571.0,,LTL,UPS,9,0.4,0,3650.64
SHP100335,Los Angeles,New York,2473.0,1938.0,Truckload,FedEx,13,0.28,0,5394.27
SHP100336,Los Angeles,Atlanta,2341.0,12960.0,Truckload,DHL Express,4,0.19,0,6409.57
SHP100337,New York,Miami,1749.0,7223.0,Air Freight,DHL Express,6,0.26,0,7204.22
SHP100338,Atlanta,New York,1878.0,1309.0,LTL,USPS,7,0.34,0,2996.63
SHP100339,Miami,Atlanta,1624.0,5296.0,LTL,UPS,13,0.29,0,2933.54
SHP100340,Chicago,Houston,-999.0,7321.0,Truckload,DHL Express,11,0.38,0,4629.82
SHP100341,Houston,Chicago,1976.0,798.0,LTL,USPS,6,0.45,0,3136.74
SHP100342,Chicago,Houston,1741.0,,LTL,UPS,8,0.21,0,3655.42
SHP100343,Atlanta,New York,1948.0,3601.0,Air Freight,FedEx,4,0.29,1,8037.94
SHP100344,Houston,Atlanta,1862.0,14540.0,Air Freight,UPS,12,0.28,0,8796.8
SHP100345,Atlanta,Miami,1570.0,6450.0,Air Freight,UPS,1,0.24,0,6526.46
SHP100346,Los Angeles,Chicago,2459.0,14620.0,Truckload,DHL Express,7,0.21,0,6770.02
SHP100347,Houston,Miami,-999.0,6693.0,LTL,DHL Express,3,0.17,0,2985.91
SHP100348,Los Angeles,New York,2361.0,14674.0,LTL,UPS,6,0.42,0,4822.66
SHP100349,Chicago,Miami,1563.0,8751.0,Truckload,DHL Express,2,0.28,1,4885.77
SHP100350,Chicago,New York,2020.0,13913.0,Air Freight,DHL Express,9,0.3,0,9244.79
SHP100351,Houston,New York,1930.0,1873.0,LTL,DHL Express,1,0.43,1,3550.33
SHP100352,Houston,Miami,1558.0,6902.0,LTL,USPS,6,0.38,0,3030.69
SHP100353,Miami,Houston,1534.0,13122.0,LTL,USPS,6,0.19,0,3383.48
SHP100354,Atlanta,New York,1955.0,11183.0,Truckload,UPS,5,0.32,0,5530.61
SHP100355,Miami,New York,1746.0,14683.0,Air Freight,DHL Express,13,0.28,0,8514.88
SHP100356,Atlanta,Houston,1906.0,7827.0,Truckload,USPS,5,0.39,0,4979.16
SHP100357,Miami,Los Angeles,2130.0,4282.0,LTL,UPS,1,0.37,0,3612.99
SHP100358,Los Angeles,Chicago,2437.0,6569.0,Air Freight,DHL Express,10,0.36,1,10132.17
SHP100359,Houston,Los Angeles,2309.0,10376.0,Truckload,FedEx,12,0.25,1,6528.77
SHP100360,Chicago,Miami,1635.0,1827.0,LTL,DHL Express,5,0.39,0,2620.02
SHP100361,Atlanta,Houston,1738.0,1272.0,LTL,DHL Express,2,0.17,0,2732.87
SHP100362,Atlanta,Los Angeles,2271.0,7680.0,LTL,USPS,7,0.2,0,4051.13
SHP100363,Chicago,Los Angeles,2394.0,14822.0,LTL,UPS,3,0.25,0,4789.72
SHP100364,Miami,Atlanta,1518.0,13671.0,Air Freight,UPS,13,0.17,0,7491.71
SHP100365,Atlanta,Miami,1614.0,,LTL,USPS,4,0.22,0,3468.48
SHP100366,Los Angeles,Houston,-999.0,1827.0,Air Freight,DHL Express,3,0.4,0,8270.72
SHP100367,Houston,Los Angeles,2415.0,9546.0,LTL,FedEx,3,0.43,0,4473.36
SHP100368,Chicago,Atlanta,1882.0,7540.0,LTL,DHL Express,4,0.24,0,3558.36
SHP100369,Houston,Chicago,1872.0,4909.0,LTL,DHL Express,5,0.23,0,3342.41
SHP100370,Atlanta,Los Angeles,2343.0,8943.0,LTL,FedEx,1,0.23,0,4368.33
SHP100371,Atlanta,Los Angeles,2329.0,8168.0,LTL,USPS,4,0.23,0,4219.3
SHP100372,Chicago,Los Angeles,2379.0,3039.0,Air Freight,UPS,12,0.16,0,8303.93
SHP100373,Los Angeles,Miami,2126.0,8393.0,Truckload,USPS,12,0.43,0,5522.93
SHP100374,New York,Chicago,1928.0,1375.0,Truckload,USPS,11,0.21,0,4306.82
SHP100375,Chicago,Los Angeles,2302.0,9543.0,LTL,DHL Express,8,0.28,0,4263.69
SHP100376,New York,Atlanta,1853.0,11964.0,LTL,UPS,10,0.15,0,3852.48
SHP100377,Miami,Houston,1571.0,9953.0,LTL,UPS,7,0.41,0,3309.88
SHP100378,New York,Houston,2091.0,5177.0,Truckload,USPS,9,0.37,0,5100.73
SHP100379,Los Angeles,Houston,2394.0,9048.0,LTL,FedEx,5,0.43,0,4455.03
SHP100380,Miami,Houston,1666.0,12572.0,LTL,USPS,13,0.38,0,3597.46
SHP100381,New York,Houston,2021.0,2772.0,Truckload,FedEx,10,0.24,0,4508.12
SHP100382,Miami,Chicago,-999.0,4706.0,LTL,UPS,4,0.22,0,3022.02
SHP100383,New York,Houston,2057.0,1375.0,LTL,USPS,8,0.36,0,3328.52
SHP100384,Los Angeles,Miami,2044.0,4183.0,LTL,DHL Express,9,0.26,0,3419.1
SHP100385,New York,Houston,1863.0,9401.0,Air Freight,USPS,13,0.32,1,8685.29
SHP100386,New York,Los Angeles,2460.0,2919.0,Truckload,UPS,7,0.15,0,5476.71
SHP100387,New York,Chicago,2092.0,12758.0,LTL,DHL Express,7,0.17,1,4633.32
SHP100388,Chicago,Los Angeles,2323.0,1292.0,LTL,DHL Express,5,0.31,0,3734.38
SHP100389,Chicago,Los Angeles,2271.0,8589.0,Air Freight,FedEx,4,0.32,0,9143.18
SHP100390,Chicago,Miami,1595.0,1881.0,Truckload,DHL Express,10,0.38,0,3701.55
SHP100391,Los Angeles,Chicago,2273.0,1619.0,LTL,DHL Express,1,0.19,0,3577.75
SHP100392,Miami,Chicago,1591.0,12177.0,Air Freight,USPS,10,0.3,0,7598.11
SHP100393,Atlanta,Chicago,1902.0,7296.0,LTL,UPS,10,0.21,0,3506.52
SHP100394,New York,Chicago,1955.0,1968.0,Truckload,FedEx,7,0.18,0,4436.99
SHP100395,New York,Chicago,2059.0,6466.0,Truckload,USPS,1,0.27,0,5197.5
SHP100396,Los Angeles,Miami,2155.0,3282.0,LTL,DHL Express,1,0.2,0,3704.4
SHP100397,New York,Houston,1869.0,3808.0,Air Freight,DHL Express,5,0.22,0,6957.86
SHP100398,Chicago,Los Angeles,2267.0,6047.0,Truckload,FedEx,13,0.25,0,5391.3
SHP100399,Atlanta,Chicago,1841.0,2405.0,Truckload,UPS,9,0.23,0,4200.3
SHP100400,Houston,Los Angeles,2426.0,9639.0,LTL,FedEx,6,0.18,0,4374.26
SHP100401,New York,Houston,1906.0,11022.0,LTL,USPS,3,0.18,1,4099.3
SHP100402,Chicago,Los Angeles,2439.0,1874.0,LTL,FedEx,13,0.21,1,4118.41
SHP100403,Houston,Miami,1694.0,10733.0,Truckload,DHL Express,3,0.17,0,4836.02
SHP100404,Atlanta,Houston,1925.0,,LTL,USPS,7,0.34,0,3517.69
SHP100405,Houston,Atlanta,1848.0,4110.0,Truckload,DHL Express,6,0.24,1,4960.28
SHP100406,Chicago,Houston,1935.0,5374.0,Truckload,UPS,9,0.23,0,4718.56
SHP100407,Miami,New York,1706.0,454.0,LTL,DHL Express,6,0.25,0,2671.94
SHP100408,Miami,Houston,1581.0,1771.0,Truckload,DHL Express,5,0.35,1,4211.02
SHP100409,Houston,Los Angeles,2261.0,5366.0,LTL,FedEx,10,0.41,0,3855.25
SHP100410,Los Angeles,Miami,2006.0,11067.0,Air Freight,DHL Express,7,0.38,0,8755.23
SHP100411,Houston,Atlanta,1737.0,3895.0,LTL,USPS,1,0.37,0,3065.71
SHP100412,New York,Houston,1893.0,4260.0,LTL,USPS,12,0.3,0,3148.28
SHP100413,New York,Houston,1947.0,11434.0,LTL,UPS,7,0.36,1,4167.55
SHP100414,Miami,Chicago,1725.0,14014.0,LTL,USPS,3,0.32,0,3836.95
SHP100415,Los Angeles,Miami,2102.0,114.0,Truckload,FedEx,9,0.21,0,4507.77
SHP100416,Chicago,New York,1967.0,9541.0,Truckload,UPS,6,0.21,0,5381.29
SHP100417,New York,Los Angeles,2398.0,13162.0,Truckload,USPS,9,0.24,0,6563.4
SHP100418,Miami,Chicago,1648.0,,LTL,FedEx,13,0.42,0,3110.05
SHP100419,Atlanta,Chicago,1774.0,14687.0,LTL,USPS,5,0.31,0,3925.46
SHP100420,Miami,Houston,1626.0,9657.0,LTL,USPS,7,0.37,1,3682.64
SHP100421,New York,Houston,2083.0,11835.0,Truckload,DHL Express,13,0.25,0,5818.04
SHP100422,New York,Miami,1641.0,1018.0,Air Freight,USPS,4,0.27,0,5723.18
SHP100423,Miami,Chicago,1522.0,418.0,LTL,USPS,7,0.19,0,2411.95
SHP100424,Chicago,Miami,1615.0,8474.0,LTL,FedEx,13,0.2,0,3240.77
SHP100425,Houston,Chicago,1796.0,2292.0,Truckload,FedEx,1,0.4,1,4720.28
SHP100426,New York,Los Angeles,2359.0,5052.0,Air Freight,DHL Express,7,0.33,0,8886.84
SHP100427,Miami,Chicago,1603.0,3133.0,Truckload,USPS,8,0.25,0,3800.67
SHP100428,Miami,Houston,1693.0,8123.0,Air Freight,DHL Express,5,0.39,0,7275.48
SHP100429,Los Angeles,Houston,2238.0,9162.0,LTL,USPS,2,0.22,0,4163.57
SHP100430,Houston,New York,1980.0,8930.0,LTL,UPS,5,0.44,0,3698.61
SHP100431,Atlanta,Chicago,1947.0,12514.0,Air Freight,UPS,6,0.25,0,8734.83
SHP100432,Chicago,Miami,1674.0,14602.0,Truckload,DHL Express,12,0.25,0,5180.28
SHP100433,Atlanta,New York,1879.0,13372.0,LTL,DHL Express,2,0.24,1,4369.3
SHP100434,Houston,New York,1986.0,1519.0,Truckload,DHL Express,6,0.19,0,4462.15
SHP100435,Houston,Chicago,1883.0,4775.0,Air Freight,FedEx,6,0.18,1,7974.95
SHP100436,Houston,New York,1979.0,4309.0,Truckload,FedEx,1,0.34,0,4835.26
SHP100437,Atlanta,Miami,1551.0,3672.0,Truckload,FedEx,1,0.41,0,3870.21
SHP100438,Houston,New York,1852.0,10342.0,LTL,DHL Express,11,0.39,0,3739.85
SHP100439,Miami,Atlanta,1663.0,10507.0,Truckload,USPS,10,0.19,0,4746.27
SHP100440,Atlanta,Chicago,1797.0,12031.0,Truckload,UPS,3,0.31,0,5273.79
SHP100441,Houston,Los Angeles,2234.0,873.0,Air Freight,DHL Express,10,0.18,0,7567.36
SHP100442,Miami,New York,-999.0,3481.0,Air Freight,FedEx,10,0.16,0,6637.58
SHP100443,Los Angeles,Houston,2350.0,6578.0,Air Freight,FedEx,12,0.35,1,9757.27
SHP100444,Houston,Miami,1720.0,4201.0,LTL,DHL Express,3,0.31,0,3071.02
SHP100445,Atlanta,New York,1893.0,4263.0,Truckload,DHL Express,4,0.17,0,4498.9
SHP100446,New York,Atlanta,2012.0,7470.0,Truckload,FedEx,2,0.16,1,5602.35
SHP100447,Houston,Los Angeles,2264.0,9039.0,Truckload,USPS,9,0.45,0,5912.22
SHP100448,New York,Los Angeles,2544.0,829.0,Truckload,FedEx,10,0.16,0,5437.98
SHP100449,Miami,Los Angeles,2106.0,11092.0,Air Freight,FedEx,12,0.28,0,8971.11
SHP100450,Los Angeles,New York,2459.0,2942.0,LTL,DHL Express,11,0.3,0,3995.96
SHP100451,Chicago,New York,2038.0,5584.0,Truckload,USPS,7,0.19,0,4949.42
SHP100452,Los Angeles,Houston,2455.0,10135.0,LTL,FedEx,7,0.2,1,4866.54
SHP100453,Houston,Atlanta,-999.0,3356.0,LTL,FedEx,6,0.26,0,3069.95
SHP100454,New York,Atlanta,2021.0,2952.0,Truckload,UPS,3,0.38,0,4797.92
SHP100455,New York,Miami,1673.0,13045.0,Truckload,DHL Express,6,0.3,0,5179.99
SHP100456,Atlanta,New York,1880.0,13441.0,LTL,UPS,12,0.34,0,3946.58
SHP100457,New York,Houston,2085.0,3768.0,LTL,UPS,8,0.45,0,3580.07
SHP100458,Atlanta,Miami,1536.0,71.0,Truckload,FedEx,8,0.38,0,3343.73
SHP100459,Miami,Los Angeles,2099.0,1550.0,LTL,DHL Express,11,0.28,0,3277.74
SHP100460,Chicago,Los Angeles,2305.0,9084.0,LTL,USPS,13,0.28,0,4104.2
SHP100461,Houston,Atlanta,1939.0,10002.0,LTL,FedEx,9,0.34,0,3859.99
SHP100462,Atlanta,Chicago,1806.0,3691.0,LTL,USPS,1,0.35,0,3090.1
SHP100463,Chicago,Atlanta,1839.0,5262.0,LTL,USPS,1,0.3,0,3286.82
SHP100464,New York,Miami,1678.0,241.0,LTL,DHL Express,3,0.34,0,2614.42
SHP100465,New York,Chicago,-999.0,13356.0,LTL,UPS,3,0.16,0,4031.91
SHP100466,Chicago,Miami,1595.0,13464.0,Air Freight,DHL Express,10,0.28,1,8554.01
SHP100467,New York,Los Angeles,2373.0,8637.0,Truckload,USPS,8,0.23,0,5944.22
SHP100468,Miami,Chicago,1563.0,7224.0,Truckload,FedEx,10,0.19,0,4195.05
SHP100469,Miami,Atlanta,1545.0,5164.0,LTL,USPS,1,0.18,0,2769.85
SHP100470,Chicago,Los Angeles,2380.0,4712.0,LTL,FedEx,13,0.33,0,3941.28
SHP100471,Atlanta,Houston,1856.0,4376.0,Truckload,FedEx,2,0.31,1,4935.78
SHP100472,Atlanta,New York,2066.0,9115.0,LTL,DHL Express,2,0.23,0,3846.82
SHP100473,Chicago,Houston,-999.0,10863.0,LTL,USPS,3,0.29,1,4162.02
SHP100474,Atlanta,New York,2078.0,4385.0,Truckload,UPS,13,0.3,0,4824.06
SHP100475,Atlanta,New York,1879.0,8331.0,Truckload,USPS,6,0.21,0,4907.59
SHP100476,Miami,Los Angeles,2040.0,,LTL,USPS,1,0.35,1,4364.57
SHP100477,Atlanta,Miami,1687.0,8698.0,LTL,UPS,2,0.38,0,3333.53
SHP100478,Los Angeles,Miami,2087.0,10522.0,Truckload,DHL Express,13,0.39,0,5732.92
SHP100479,Houston,New York,1904.0,12691.0,LTL,USPS,13,0.33,0,4009.61
SHP100480,New York,Houston,1916.0,9246.0,Truckload,USPS,1,0.3,1,5662.98
SHP100481,Los Angeles,Houston,2350.0,13694.0,Truckload,FedEx,5,0.17,1,7041.9
SHP100482,Atlanta,Houston,1732.0,12776.0,Air Freight,USPS,13,0.24,0,8099.97
SHP100483,Miami,Atlanta,1515.0,5544.0,LTL,UPS,13,0.18,1,3084.38
SHP100484,Chicago,New York,1906.0,8586.0,Air Freight,FedEx,7,0.44,0,7970.58
SHP100485,Atlanta,Miami,1615.0,2761.0,Truckload,DHL Express,8,0.19,0,3794.33
SHP100486,Miami,Atlanta,1641.0,7645.0,LTL,FedEx,10,0.2,0,3123.27
SHP100487,Houston,Atlanta,1782.0,12994.0,LTL,UPS,1,0.42,0,3832.81
SHP100488,Atlanta,Chicago,1927.0,6323.0,Truckload,UPS,7,0.43,0,4921.29
SHP100489,Chicago,Atlanta,1772.0,6334.0,LTL,FedEx,13,0.38,0,3203.34
SHP100490,Miami,Chicago,1677.0,10704.0,LTL,DHL Express,5,0.15,0,3391.13
SHP100491,Miami,New York,1795.0,9358.0,LTL,FedEx,10,0.15,0,3486.3
SHP100492,Miami,Chicago,1538.0,8867.0,Air Freight,DHL Express,1,0.26,0,6917.58
SHP100493,Houston,Atlanta,1771.0,12621.0,Truckload,FedEx,3,0.19,0,5197.93
SHP100494,Atlanta,Miami,1693.0,10221.0,Truckload,UPS,7,0.16,0,4829.11
SHP100495,Houston,Chicago,1970.0,4044.0,LTL,USPS,10,0.29,0,3258.35
SHP100496,New York,Chicago,2077.0,1728.0,LTL,USPS,1,0.43,0,3354.87
SHP100497,New York,Houston,2043.0,8464.0,Truckload,DHL Express,7,0.25,0,5314.65
SHP100498,Atlanta,Miami,1500.0,793.0,LTL,DHL Express,5,0.35,1,2754.81
SHP100499,Houston,New York,1952.0,512.0,LTL,DHL Express,1,0.35,0,3060.93
SHP100500,Chicago,Atlanta,1827.0,1618.0,Truckload,UPS,1,0.23,0,4241.62
SHP100501,Miami,New York,1827.0,11589.0,Air Freight,FedEx,1,0.35,1,9072.5
SHP100502,Miami,Atlanta,1635.0,14043.0,Truckload,UPS,11,0.21,0,5193.52
SHP100503,Atlanta,Chicago,1814.0,13501.0,Truckload,USPS,9,0.19,1,5904.4
SHP100504,New York,Chicago,1949.0,14742.0,Air Freight,DHL Express,11,0.36,0,9183.44
SHP100505,New York,Miami,1713.0,1786.0,LTL,FedEx,13,0.18,0,2769.16
SHP100506,Miami,Chicago,1669.0,13384.0,Truckload,USPS,3,0.45,0,5315.92
SHP100507,Atlanta,Chicago,1775.0,12281.0,Air Freight,USPS,13,0.21,0,8058.39
SHP100508,Houston,Chicago,1773.0,7953.0,LTL,USPS,5,0.33,0,3347.67
SHP100509,New York,Atlanta,1871.0,12193.0,Truckload,UPS,11,0.27,0,5338.38
SHP100510,Houston,Atlanta,1910.0,7052.0,Truckload,DHL Express,10,0.19,0,4861.77
SHP100511,New York,Houston,2036.0,8906.0,Truckload,USPS,12,0.16,1,5713.69
SHP100512,New York,Los Angeles,2551.0,1406.0,Truckload,DHL Express,9,0.34,0,5579.21
SHP100513,Los Angeles,Miami,2083.0,1064.0,Air Freight,UPS,6,0.39,0,7343.84
SHP100514,New York,Miami,1844.0,10374.0,Truckload,USPS,12,0.4,0,5150.02
SHP100515,Chicago,Miami,1614.0,10910.0,LTL,UPS,9,0.29,0,3362.93
SHP100516,Atlanta,Los Angeles,2333.0,1104.0,Air Freight,UPS,8,0.38,1,8787.96
SHP100517,Atlanta,Houston,-999.0,1814.0,LTL,DHL Express,8,0.35,0,2916.1
SHP100518,Houston,Los Angeles,2217.0,14625.0,LTL,USPS,1,0.37,0,4566.49
SHP100519,New York,Miami,1707.0,6059.0,LTL,UPS,13,0.3,0,3187.96
SHP100520,Chicago,Los Angeles,2266.0,4508.0,LTL,USPS,9,0.34,0,3906.34
SHP100521,Houston,Chicago,1840.0,11111.0,LTL,DHL Express,6,0.39,1,4116.43
SHP100522,Los Angeles,Atlanta,2282.0,9654.0,Air Freight,UPS,9,0.27,0,9327.97
SHP100523,Houston,Atlanta,-999.0,,Truckload,DHL Express,3,0.39,0,4168.2
SHP100524,Houston,Los Angeles,2229.0,3420.0,Truckload,USPS,12,0.33,1,5665.58
SHP100525,New York,Atlanta,2081.0,6026.0,LTL,USPS,3,0.2,1,3988.26
SHP100526,Los Angeles,Miami,1994.0,1444.0,Air Freight,DHL Express,6,0.16,0,6925.71
SHP100527,Houston,Miami,1508.0,8340.0,Air Freight,FedEx,9,0.26,0,6564.25
SHP100528,Chicago,Houston,1734.0,14432.0,Truckload,UPS,7,0.31,0,5402.61
SHP100529,Chicago,Miami,-999.0,4120.0,LTL,USPS,13,0.4,0,2792.4
SHP100530,Atlanta,New York,2056.0,7032.0,LTL,USPS,3,0.19,1,4006.01
SHP100531,Los Angeles,Houston,2337.0,8663.0,LTL,UPS,3,0.39,0,4274.21
SHP100532,Los Angeles,New York,2401.0,5649.0,LTL,DHL Express,2,0.41,0,4094.74
SHP100533,Atlanta,Chicago,1940.0,3700.0,LTL,DHL Express,9,0.2,0,3213.55
SHP100534,Houston,New York,2064.0,12399.0,Air Freight,DHL Express,13,0.41,0,9158.58
SHP100535,Los Angeles,Chicago,2364.0,9374.0,LTL,FedEx,3,0.45,0,4369.71
SHP100536,Chicago,New York,1889.0,9944.0,LTL,FedEx,11,0.37,0,3690.03
SHP100537,Chicago,Los Angeles,2433.0,3670.0,LTL,USPS,5,0.39,0,3951.22
SHP100538,New York,Houston,1875.0,,LTL,DHL Express,9,0.45,0,3181.36
SHP100539,Los Angeles,Miami,1996.0,8839.0,LTL,UPS,8,0.33,0,3775.33
SHP100540,Houston,Miami,1679.0,441.0,LTL,USPS,2,0.24,0,2625.03
SHP100541,Atlanta,Chicago,1812.0,1125.0,LTL,UPS,3,0.4,0,2923.89
SHP100542,Atlanta,Chicago,1857.0,2700.0,Truckload,USPS,2,0.33,0,4368.62
SHP100543,Houston,Los Angeles,2387.0,13650.0,Air Freight,FedEx,8,0.32,0,10363.06
SHP100544,Miami,Houston,1659.0,14367.0,LTL,USPS,6,0.23,0,3654.48
SHP100545,New York,Los Angeles,2486.0,2434.0,LTL,FedEx,6,0.38,0,4076.67
SHP100546,Atlanta,Chicago,1896.0,859.0,Air Freight,USPS,12,0.17,0,6443.73
SHP100547,Los Angeles,Miami,2157.0,8097.0,LTL,DHL Express,9,0.43,0,3962.06
SHP100548,New York,Houston,2018.0,11551.0,LTL,UPS,8,0.25,1,4405.67
SHP100549,Los Angeles,New York,2362.0,5551.0,Air Freight,DHL Express,4,0.19,0,9040.16
SHP100550,Chicago,Houston,1940.0,11980.0,LTL,USPS,12,0.28,0,3861.4
SHP100551,New York,Los Angeles,2558.0,6945.0,Truckload,USPS,4,0.16,1,6707.62
SHP100552,Atlanta,New York,2060.0,1209.0,Truckload,USPS,9,0.36,0,4533.17
SHP100553,New York,Chicago,1946.0,,LTL,FedEx,1,0.42,0,3636.37
SHP100554,New York,Houston,1960.0,1581.0,LTL,UPS,13,0.4,0,3101.07
SHP100555,New York,Houston,1865.0,5531.0,Truckload,UPS,2,0.19,1,5093.97
SHP100556,Miami,Atlanta,1512.0,7598.0,LTL,USPS,2,0.19,0,2976.38
SHP100557,New York,Miami,1744.0,5026.0,LTL,USPS,13,0.39,0,3027.53
SHP100558,Los Angeles,Chicago,2235.0,5745.0,Truckload,FedEx,13,0.43,0,5462.5
SHP100559,Chicago,New York,1945.0,10924.0,Truckload,DHL Express,6,0.29,1,5913.51
SHP100560,Houston,Atlanta,1741.0,8495.0,LTL,DHL Express,4,0.3,0,3413.06
SHP100561,New York,Miami,1681.0,3598.0,Air Freight,UPS,13,0.25,0,6271.66
SHP100562,Atlanta,New York,1982.0,11427.0,LTL,FedEx,11,0.42,0,3950.54
SHP100563,New York,Houston,1955.0,6213.0,Air Freight,USPS,10,0.34,0,7712.48
SHP100564,Atlanta,Chicago,1949.0,6721.0,Truckload,UPS,13,0.24,0,4843.04
SHP100565,Los Angeles,Houston,2326.0,5314.0,Truckload,FedEx,3,0.24,0,5557.04
SHP100566,Atlanta,Los Angeles,2406.0,1281.0,LTL,DHL Express,3,0.42,1,4121.5
SHP100567,Houston,Atlanta,1906.0,2473.0,Air Freight,FedEx,3,0.15,0,6838.31
SHP100568,Chicago,Miami,1515.0,11817.0,LTL,DHL Express,6,0.25,0,3217.17
SHP100569,Atlanta,Chicago,1862.0,8121.0,Truckload,FedEx,8,0.32,0,4993.28
SHP100570,Atlanta,Los Angeles,-999.0,4311.0,LTL,UPS,11,0.19,0,3681.94
SHP100571,Chicago,New York,2056.0,9815.0,LTL,DHL Express,7,0.18,0,3969.75
SHP100572,Houston,New York,1862.0,2958.0,LTL,UPS,4,0.39,0,3192.64
SHP100573,New York,Atlanta,2005.0,4762.0,Air Freight,UPS,11,0.42,0,7569.99
SHP100574,Atlanta,New York,2010.0,6805.0,Air Freight,DHL Express,12,0.4,0,7934.6
SHP100575,Chicago,New York,1956.0,9867.0,LTL,DHL Express,4,0.42,0,3954.78
SHP100576,Los Angeles,Chicago,2232.0,12240.0,LTL,USPS,11,0.32,1,4803.39
SHP100577,Chicago,Miami,1586.0,3933.0,Truckload,USPS,10,0.39,1,4397.86
SHP100578,Los Angeles,Houston,2444.0,3565.0,LTL,USPS,11,0.27,0,3989.58
